COUNTRY_NAME,POC,Vendedor,Frequência_de_Visita,Dia_da_Visita,Semana_da_Visita,AVG_LATITUDE,AVG_LONGITUDE,Número_de_Compras,Faturamento_Mensal_USD,Faturamento_Mensal_USD_(formatado),Visita_Semanal,Semana_1,Semana_2,Semana_3,Semana_4,Dia_da_Semana,Quartil_Faturamento,Cluster,Vendedor_Atribuído,Alto_Valor,Frequência_Ajustada,Delta_Lat,Delta_Lon,Distância_Km_Lat,Distância_Km_Lon,Distância_Total_Km,Frequência_Final,Ordem_Visita
EC,11803517,ECECB282,4,3,CMPL,-2.7428445,-78.849739625,8,103820.37,"$103,820.37",1.0,0,0,0,0,ter,Q4,79,ECECB282,True,4,,,,,76.97927954813333,4,8.0
EC,11804079,ECECB224,2,3,2.0,-2.1557265,-79.92296505,3,1967.49,"$1,967.49",0.5,0,1,0,0,ter,Q1,338,ECECB176,False,2,,,,,1.1869413259001755,2,20.0
EC,11804339,ECECB584,2,5,1.0,-1.78404903333,-79.67961216667,7,8654.81,"$8,654.81",0.5,1,0,0,0,qui,Q4,1,ECECB584,True,4,,,,,19.166564299616578,4,7.0
EC,11804780,ECECB026,4,6,CMPL,-1.79646986667,-79.53575653333,4,31811.9,"$31,811.90",1.0,0,0,0,0,sex,Q4,102,ECECB026,True,4,,,,,72.4129008258912,4,5.0
EC,11805151,ECECB093,2,7,1.0,-1.79118463333,-79.63255606667,8,2623.85,"$2,623.85",0.5,1,0,0,0,sab,Q2,1,ECECB176,False,2,,,,,29.43742495164669,2,16.0
EC,11805264,ECECB584,2,3,2.0,-1.6817648,-79.4949277,6,2599.62,"$2,599.62",0.5,0,1,0,0,ter,Q2,342,ECECB176,False,2,0.10228423333000003,0.18468446666999228,11.353549899630003,20.49114546041868,31.844695360048682,2,7.0
EC,11805667,ECECB465,2,3,1.0,-1.9932128,-79.3561858,4,2954.94,"$2,954.94",0.5,1,0,0,0,ter,Q2,203,ECECB465,False,2,,,,,16.728372286492412,2,1.0
EC,11807463,ECECB471,2,6,1.0,-2.16793945,-79.8867595,8,3325.28,"$3,325.28",0.5,1,0,0,0,sex,Q2,11,ECECB176,False,2,,,,,4.515778502912189,2,57.0
EC,11807542,ECECBA38,2,3,2.0,-1.36638725,-79.9013912,5,2304.48,"$2,304.48",0.5,0,1,0,0,ter,Q1,115,ECECBA38,False,2,,,,,33.16906047166523,2,7.0
EC,11810131,ECECB428,2,4,2.0,-0.8841015,-80.09826873333,10,132692.21,"$132,692.21",0.5,0,1,0,0,qua,Q4,151,ECECB428,True,4,,,,,49.94061294603782,4,1.0
EC,11810153,ECECB436,4,4,CMPL,-0.84814845,-80.163132225,12,3410.3,"$3,410.30",1.0,0,0,0,0,qua,Q3,213,ECECB176,False,4,,,,,10.076789696870863,4,15.0
EC,11810377,ECECB272,2,7,2.0,-4.40138005,-79.46827205,7,3634.63,"$3,634.63",0.5,0,1,0,0,sab,Q3,77,ECECB272,False,2,,,,,19.558206281727493,2,7.0
EC,11810402,ECECB272,2,7,2.0,-4.40072835,-79.4685357,6,2690.95,"$2,690.95",0.5,0,1,0,0,sab,Q2,77,ECECB272,False,2,0.0006517000000005879,0.00026365000000794225,0.07233870000006526,0.029178869809213494,0.10151756980927876,2,5.0
EC,11811151,ECECB558,2,5,1.0,-3.98668335,-79.3566221,6,2163.53,"$2,163.53",0.5,1,0,0,0,qui,Q1,14,ECECB176,False,2,,,,,13.380663960877632,2,9.0
EC,11811340,ECECBA19,2,2,2.0,-4.10225145,-79.95628465,13,3390.75,"$3,390.75",0.5,0,1,0,0,seg,Q3,313,ECECBA19,False,2,,,,,26.612443932294088,2,0.0
EC,11811497,ECECB339,2,2,1.0,-3.87834423333,-79.6452312,6,1988.56,"$1,988.56",0.5,1,0,0,0,seg,Q1,117,ECECB339,False,2,,,,,26.912979833608393,2,1.0
EC,11812403,ECECBA51,4,2,CMPL,-0.8053181,-80.0151461,6,12091.49,"$12,091.49",1.0,0,0,0,0,seg,Q4,151,ECECB428,True,4,,,,,21.28028689876438,4,2.0
EC,11813391,ECECB221,2,5,1.0,-2.1321981,-79.9567429,11,2677.72,"$2,677.72",0.5,1,0,0,0,qui,Q2,326,ECECB093,False,2,,,,,2.1515143589680283,2,10.0
EC,11813984,ECECB282,4,5,CMPL,-2.89528455,-79.0264571,11,32897.82,"$32,897.82",1.0,0,0,0,0,qui,Q4,412,ECECB221,True,4,0.15244005000000005,0.1767174750000038,16.920845550000006,19.590600706270266,36.511446256270276,4,19.0
EC,11814131,ECECB280,2,4,2.0,-2.89921493333,-79.0073478,11,3942.97,"$3,942.97",0.5,0,1,0,0,qua,Q3,23,ECECB093,False,2,,,,,1.6183671662665227,2,20.0
EC,11814985,ECECBA37,1,6,1.0,-2.221332,-79.4430636,10,3799.27,"$3,799.27",0.25,1,0,0,0,sex,Q3,187,ECECBA37,False,1,,,,,11.591808097402247,1,2.0
EC,11815020,ECECBA37,1,6,1.0,-2.2199301,-79.4424208,15,6523.04,"$6,523.04",0.25,1,0,0,0,sex,Q4,187,ECECBA37,False,1,0.001401899999999845,0.0006428000000084921,0.1556108999999828,0.07129725143363248,0.22690815143361526,1,6.0
EC,11815059,ECECB253,4,2,CMPL,-2.2512818,-79.89625462857,6,2142.3,"$2,142.30",1.0,0,0,0,0,seg,Q1,395,ECECB093,False,4,,,,,3.5966672972321994,4,22.0
EC,11816369,ECECB279,2,3,1.0,-2.94279103333,-78.96113263333,7,2915.24,"$2,915.24",0.5,1,0,0,0,ter,Q2,23,ECECB093,False,2,,,,,3.377245367060964,2,10.0
EC,11817336,ECECB209,4,2,CMPL,-2.12548345,-79.94334395,1,20678.73,"$20,678.73",1.0,0,0,0,0,seg,Q4,326,ECECBA51,True,4,,,,,10.679248935674739,4,52.0
EC,11818308,ECECB277,2,6,1.0,-2.91176745,-79.00751365,8,3436.44,"$3,436.44",0.5,1,0,0,0,sex,Q3,23,ECECB093,False,2,,,,,1.961682770104197,2,14.0
EC,11820499,ECECB503,4,2,CMPL,-2.1205242,-79.9082701,6,2252.19,"$2,252.19",1.0,0,0,0,0,seg,Q1,54,ECECB093,False,4,,,,,1.9060779385867168,4,11.0
EC,11821769,ECECB277,2,3,2.0,-2.9283366,-79.0108681,9,2807.83,"$2,807.83",0.5,0,1,0,0,ter,Q2,23,ECECB018,False,2,0.016569150000000032,0.0033544499999891286,1.8391756500000036,0.3718577482756332,2.211033398275637,2,3.0
EC,11821935,ECECB309,4,3,CMPL,-2.22373265,-80.082769575,5,4507.27,"$4,507.27",1.0,0,0,0,0,ter,Q3,175,ECECB209,False,4,,,,,10.809464980110345,4,4.0
EC,11822040,ECECBA25,2,3,1.0,-2.70881643333,-80.2480977,8,14463.42,"$14,463.42",0.5,1,0,0,0,ter,Q4,27,ECECB277,True,4,,,,,0.4231414126138178,4,2.0
EC,11823242,ECECB209,4,2,CMPL,-2.06915555,-79.93168375,3,13846.44,"$13,846.44",1.0,0,0,0,0,seg,Q4,246,ECECB503,True,4,0.056327899999999875,0.011660199999994347,6.252396899999987,1.293438296480663,7.54583519648065,4,47.0
EC,11823476,ECECB207,2,5,1.0,-2.0859971,-79.91295095,4,2063.05,"$2,063.05",0.5,1,0,0,0,qui,Q1,246,ECECB093,False,2,,,,,5.152363587710294,2,7.0
EC,11824067,ECECB282,4,6,CMPL,-2.88224956667,-78.99436043333,11,50664.19,"$50,664.19",1.0,0,0,0,0,sex,Q4,371,ECECB309,True,4,0.01303498332999986,0.03209666667000022,1.4468831496299845,3.558223086803704,5.005106236433688,4,13.0
EC,11824085,ECECB551,4,3,CMPL,-2.9081283,-79.016687575,6,1953.67,"$1,953.67",1.0,0,0,0,0,ter,Q1,412,ECECB093,False,4,,,,,2.690271830413153,4,5.0
EC,11824218,ECECB209,4,2,CMPL,-2.126851925,-79.999514475,14,57862.08,"$57,862.08",1.0,0,0,0,0,seg,Q4,179,ECECBA25,True,4,0.05769637499999991,0.06783072499999321,6.40429762499999,7.52402368318442,13.92832130818441,4,13.0
EC,11825202,ECECB176,4,2,CMPL,-2.196508375,-79.9005398,4,21076.87,"$21,076.87",1.0,0,0,0,0,seg,Q4,346,ECECB207,True,4,,,,,1.039798785807041,4,63.0
EC,11827057,ECECB207,4,2,CMPL,-2.0613078,-79.891801125,5,1960.13,"$1,960.13",1.0,0,0,0,0,seg,Q1,272,ECECB093,False,4,0.024689300000000358,0.02114982499999485,2.7405123000000398,2.346111450574717,5.086623750574757,4,15.0
EC,11828574,ECECB307,2,4,1.0,-2.1820147,-79.820015,3,6894.38,"$6,894.38",0.5,1,0,0,0,qua,Q4,189,ECECB176,False,2,,,,,12.912512983742799,2,5.0
